contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid
SPY260821C00585000,2026-06-17 18:47:35+00:00,585.0,167.84,164.72,167.47,0.0,0.0,6.0,44,0.48743188354492195,True,REGULAR,USD,166.095
SPY260821C00590000,2026-06-30 13:54:29+00:00,590.0,165.1,159.53,162.77,7.060013,4.4672318,1.0,51,0.4826101544189454,True,REGULAR,USD,161.15
SPY260821C00595000,2026-07-06 14:38:19+00:00,595.0,158.41,154.62,156.69,0.0,0.0,1.0,555,0.437505625,True,REGULAR,USD,155.655
SPY260821C00600000,2026-07-06 14:13:26+00:00,600.0,152.98,149.88,152.6,0.0,0.0,2.0,749,0.45117736328125,True,REGULAR,USD,151.24
SPY260821C00605000,2026-07-07 14:30:36+00:00,605.0,145.9,144.73,147.76,-4.080002,-2.720364,5.0,110,0.44220528503417966,True,REGULAR,USD,146.245
SPY260821C00610000,2026-07-01 14:38:05+00:00,610.0,141.04,139.81,142.18,0.0,0.0,1.0,441,0.41345801391601555,True,REGULAR,USD,140.995
SPY260821C00615000,2026-06-24 15:13:01+00:00,615.0,129.95,135.15,138.19,0.0,0.0,1.0,96,0.42639733764648446,True,REGULAR,USD,136.67000000000002
SPY260821C00620000,2026-06-26 13:57:24+00:00,620.0,117.45,130.18,133.23,0.0,0.0,1.0,87,0.41391577301025384,True,REGULAR,USD,131.70499999999998
SPY260821C00625000,2026-06-29 14:43:43+00:00,625.0,118.0,125.05,128.08,0.0,0.0,1.0,142,0.39703972106933594,True,REGULAR,USD,126.565
SPY260821C00630000,2026-07-01 16:06:19+00:00,630.0,123.84,120.15,123.14,0.0,0.0,1.0,510,0.38513798461914056,True,REGULAR,USD,121.64500000000001
SPY260821C00635000,2026-07-07 15:06:40+00:00,635.0,115.84,115.42,118.5,-4.1600037,-3.4666698,2.0,98,0.37973642730712887,True,REGULAR,USD,116.96000000000001
SPY260821C00640000,2026-07-06 18:25:03+00:00,640.0,115.82,110.36,113.22,0.0,0.0,3.0,2587,0.3602969244384765,True,REGULAR,USD,111.78999999999999
SPY260821C00645000,2026-07-01 19:54:38+00:00,645.0,106.73,106.38,108.27,0.0,0.0,2.0,249,0.3480594979858398,True,REGULAR,USD,107.32499999999999
