ticker,expiry,beta,alpha,rho,nu,sse
SPY,2026-08-21,0.0,10.0,-0.24749999999999994,5.0,0.937096045343408
SPY,2026-08-21,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.006318838338655519
SPY,2026-08-21,1.0,6.250375000000001,-0.99,4.5834166666666665,0.47625200459217953
