ticker,expiry,option_type,spot,strike,mid,t,r,df,black_constant_vol,black_call,black_imp_vol,sabr_beta,sabr_alpha,sabr_rho,sabr_nu,sabr_sse,sabr_iv,sabr_call,black_mc_call,black_price_error,black_hedge_value_mean,black_hedge_error,black_call_payout_mean,black_hedge_profit_mean,sabr_mc_call,sabr_price_error,sabr_hedge_value_mean,sabr_hedge_error,sabr_call_payout_mean,sabr_hedge_profit_mean
SPY,2026-08-21,call,751.280029296875,600.0,151.24,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,150.53582819911782,0.325335111429225,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.3200706385065966,151.17132580581077,159.1656306751491,8.629802476031273,150.57828051699107,0.04245231787325565,159.1656306751491,8.587350158158042,161.94896643301928,10.777640627208513,150.7856026912241,0.38572311458665354,161.94896643301928,11.163363741795166
SPY,2026-08-21,call,751.280029296875,605.0,146.245,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,145.56042658104988,0.313586692193953,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.3139219504635763,146.24955731285368,154.1902275098173,8.629800928767423,145.602877297892,0.04245071684212576,154.1902275098173,8.587350211925301,156.97356326768744,10.724005954833757,145.8323697823534,0.4171875305002857,156.97356326768744,11.141193485334066
SPY,2026-08-21,call,751.280029296875,610.0,140.995,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,140.5850274242908,0.2803837910445784,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.3077900384682814,141.33303981759013,149.2148243444855,8.629796920194678,140.62747366992338,0.042446245632561386,149.2148243444855,8.587350674562106,151.99816010235563,10.665120284765493,140.88193834244345,0.45110147514668597,151.99816010235563,11.116221759912193
SPY,2026-08-21,call,751.280029296875,615.0,136.435,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,135.60963422483547,0.3024654632665769,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.3016736826701636,136.4223746939076,144.23942117915368,8.629786954318206,135.6520682274772,0.04243400264172692,144.23942117915368,8.587352951676461,147.02275693702384,10.600382243116258,135.93469712274918,0.48767757115840027,147.02275693702384,11.088059814274677
SPY,2026-08-21,call,751.280029296875,620.0,131.74,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,130.63425485977154,0.3076580879244692,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2955716604895904,131.51824350919503,139.26401801382184,8.629763154050295,130.6766560854972,0.04240122572565497,139.26401801382184,8.587361928324652,142.04735377169203,10.529110262497,130.99109298422326,0.5271505249717734,142.04735377169203,11.056260787468755
SPY,2026-08-21,call,751.280029296875,625.0,126.565,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,125.65890634807576,0.2863825218119115,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2894827478253385,126.62142034939352,134.28861484849003,8.629708500414253,125.70122217866503,0.04231583058925992,134.28861484849003,8.587392669825004,137.0719506063602,10.450530256966672,126.0516397855284,0.5697805638651232,137.0719506063602,11.020310820831801
SPY,2026-08-21,call,751.280029296875,630.0,121.645,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,120.68362397747984,0.2789101062392359,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2834057210411788,121.73278629937089,129.31321168315824,8.629587705678418,120.72572459219907,0.042100614719245755,129.31321168315824,8.587487090959147,132.09654744102838,10.363761141657491,121.11692844338468,0.6158578559862065,132.09654744102838,10.979618997643701
SPY,2026-08-21,call,751.280029296875,635.0,116.99,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,115.70847801793047,0.28344984113515,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2773393599618401,116.85334650108364,124.33780851782642,8.629330499895929,115.75005756798976,0.041579550059267945,124.33780851782642,8.587750949836636,127.1211442756966,10.267797774612944,116.18763816917767,0.6657083319059751,127.1211442756966,10.933506106518886
SPY,2026-08-21,call,751.280029296875,640.0,111.79,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,110.73360295857336,0.2625957073424779,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.271282452178743,111.98425030311404,119.3624053524946,8.628802393921248,110.77397965462055,0.04037669604718985,119.3624053524946,8.588425697874044,122.14574111036477,10.161490807250715,111.26454877349458,0.7197015296194706,122.14574111036477,10.881192336870168
SPY,2026-08-21,call,751.280029296875,645.0,107.325,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,105.75924635625476,0.272766293953365,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2652337990586852,107.12681512736474,114.38700218716278,8.627755830908015,105.7969961696381,0.03774981338334271,114.38700218716278,8.590006017524683,117.17033794503293,10.04352281766819,106.34855373858508,0.7782613887796543,117.17033794503293,10.821784206447845
SPY,2026-08-21,call,751.280029296875,650.0,102.195,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,100.78584675412404,0.2559500809360511,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2591922239721146,102.2825548169744,109.41159902183094,8.625752267706886,100.81820993093761,0.03236317681356127,109.41159902183094,8.593389090893348,112.19493477970113,9.912379962726732,101.44067344782431,0.8418813691500873,112.19493477970113,10.754261331876796
SPY,2026-08-21,call,751.280029296875,651.0,101.185,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,99.79134032770868,0.2531947498190374,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2579846569548226,101.31543273255068,108.4165183887646,8.62517806105592,99.82212143661496,0.030781108906282384,108.4165183887646,8.594396952149632,111.19985414663476,9.884421414084088,100.46017063039542,0.8552621021552511,111.19985414663476,10.739683516239358
SPY,2026-08-21,call,751.280029296875,652.0,100.43,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,98.79690849181048,0.2596013514260375,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2567773182165372,100.34892170684503,107.42143775569824,8.624529263887752,98.82589211829819,0.02898362648770103,107.42143775569824,8.595545637400054,110.2047735135684,9.855851806723365,99.48004828452838,0.8688734223166534,110.2047735135684,10.724725229040022
SPY,2026-08-21,call,751.280029296875,654.0,98.275,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,96.8083043601098,0.249361138954902,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2543632901861112,98.41779573276722,105.43127648956552,8.622972129455732,96.83295210566519,0.024647745555398615,105.43127648956552,8.598324383900318,108.21461224743567,9.79681651466845,97.52098612566446,0.8968096071027531,108.21461224743567,10.693626121771192
SPY,2026-08-21,call,751.280029296875,655.0,97.09,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,95.81415225079502,0.2401264571314398,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.25315658342274,97.4532133999722,104.43619585649913,8.622043605704107,95.83621060916371,0.022058358368695963,104.43619585649913,8.599985247335436,107.21953161436932,9.766318214397131,96.54206748272732,0.9111459172448662,107.21953161436932,10.677464131641997
SPY,2026-08-21,call,751.280029296875,656.0,96.545,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,94.8201152601921,0.2537793319080215,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2519500700088467,96.48930738830232,103.44111522343277,8.620999963240678,94.83926704126678,0.019151781074683072,103.44111522343277,8.601848182165993,106.22445098130295,9.735143593000629,95.56357165417877,0.925735734123549,106.22445098130295,10.660879327124173
SPY,2026-08-21,call,751.280029296875,657.0,95.415,0.1232876712328767,0.04,0.9950806330663632,0.1253660312984122,93.8262061411646,0.2470589130919837,0.5,3.750625,-0.6599999999999999,2.292208333333333,0.0063188383386555,0.2507437414627931,95.52609524186896,102.44603459036641,8.619828449201819,93.8421055461334,0.015899404968806152,102.44603459036641,8.60392904423302,105.22937034823659,9.703275106367613,94.58550984125279,0.940585400616186,105.22937034823659,10.643860506983795
