ticker,expiry,t,spot,beta,alpha,rho,nu,sse
SPY,2026-08-21,0.1232876712328767,751.280029296875,0.0,10.0,-0.2605263157894737,5.0,0.8402995271175581
SPY,2026-08-21,0.1232876712328767,751.280029296875,0.5,3.684842105263158,-0.5731578947368421,2.1058421052631577,0.008536920067459059
SPY,2026-08-21,0.1232876712328767,751.280029296875,1.0,6.84242105263158,-0.8857894736842105,5.0,0.3620505260196111
